(olympic swimmers)
This list may not reflect recent changes 
Vadim Alekseyev
Oren Azrad
Guy Barnea
Aviv Barzelay
Tom Be'eri
Adi Bichman
Vered Borochovski
Yoav Bruck
Nahum Buch
Itai Chammah
Meiron Cheruti
Gal Cohen Groumi
Tomer Frankel
Imri Ganiel
Yoav Gath
Itay Goldfaden
Anastasia Gorbenko
Anna Gostomelsky
Eran Groumi
Michael Halika
Amit Ivry
Ziv Kalontarov
Martin Kartavi
Yohan Kende
Yoram Kochavy
Amnon Krauz
Dan Kutler
Michael Laitarovsky
Denis Loktev
Itzhak Luria (swimmer)
Alon Mandel
Adam Maraana
Yoav Meiri
Avraham Melamed (swimmer)
Andrea Murez
Daniel Namir
Gal Nevo
Shlomit Nir
Dov Nisman
Lea Polonsky
Ron Polonsky
Adi Prag
Keren Regal
Shoshana Ribner
Matan Roditi
Hadar Rubinstein
Nimrod Shapira Bar-Or
Gershon Shefa
Zohar Shikler
Joram Shnider
Keren Siebner
Bar Soloveychik
Eyal Stigman
Tal Stricker
Yvonne Tobis
Timea Toth (swimmer)
Yakov Toumarkin
Amiram Trauber
Eithan Urbach
